0,0
0,0
0,1
0,3
0,6
0,0
0,13
0,0
0,0
0,0
0,0
0,6
0,1
0,5
0,0
0,6
0,5
0,6
0,10
0,1
0,6
0,2
0,12
0,0
0,2
0,0
0,7
0,1
0,0
0,5
0,4
0,1
0,2
0,2
0,2
0,7
0,5
0,7
0,9
0,2
0,2
0,10
0,2
0,0
0,5
0,5
0,6
0,6
0,2
0,6
0,5
0,6
0,6
0,5
0,1
0,6
0,1
0,2
0,0
0,1
0,1
0,2
0,6
0,6
0,0
0,11
0,7
0,11
0,5
0,6
0,11
0,1
0,5
0,1
0,7
0,0
0,2
0,2
0,2
0,2
0,5
0,7
0,5
0,1
0,6
0,0
0,4
0,9
0,2
0,10
0,9
0,6
0,1
0,9
0,3
0,9
0,1
0,0
0,7
0,0
0,5
0,2
0,1
0,7
0,5
0,0
0,6
0,5
0,2
0,1
0,6
0,8
0,5
0,9
0,0
0,14
0,6
0,5
0,4
0,1
0,2
0,11
0,2
0,6
0,14
0,6
0,5
0,1
0,5
0,0
0,5
0,1
0,6
0,10
0,2
0,0
0,5
0,1
0,6
0,6
0,10
0,11
0,1
0,0
0,2
0,2
0,1
0,4
0,2
0,5
0,8
0,6
0,3
0,8
0,5
0,6
0,1
0,12
0,8
0,5
0,1
0,1
0,2
0,0
0,9
0,5
0,10
0,6
0,9
0,1
0,6
0,10
0,11
0,8
0,2
0,7
0,6
0,1
0,2
0,2
0,5
0,2
0,1
0,10
0,5
0,1
0,1
0,4
0,0
0,6
0,0
0,5
0,9
0,7
0,1
0,2
0,11
0,10
0,6
0,1
0,0
0,5
0,10
0,10
0,4
0,2
0,0
0,0
0,6
0,9
0,3
0,14
0,10
0,7
0,0
0,1
0,10
0,7
0,6
0,0
0,7
0,1
0,11
0,13
0,9
0,1
0,4
0,1
0,0
0,2
0,10
0,11
0,5
0,6
0,4
0,5
0,5
0,1
0,2
0,0
0,5
0,10
0,4
0,5
0,2
0,7
0,0
0,9
0,14
0,10
0,5
0,0
0,2
0,0
0,2
0,7
0,8
0,2
0,2
0,6
0,5
0,0
0,7
0,0
0,5
0,0
0,4
0,5
0,2
0,7
0,1
0,2
0,6
0,1
0,9
0,0
0,6
0,5
0,7
0,5
0,1
0,5
0,10
0,6
0,1
0,9
0,0
0,1
0,5
0,1
0,6
0,2
0,1
0,2
0,9
0,8
0,1
0,0
0,12
0,6
0,2
0,6
0,5
0,9
0,7
0,4
0,5
0,9
0,0
0,2
0,0
0,1
0,5
0,9
0,1
0,7
0,2
0,2
0,0
0,10
0,5
0,6
0,6
0,7
0,2
0,8
0,1
0,6
0,9
0,0
0,6
0,4
0,2
0,9
0,8
0,0
0,6
0,5
0,5
0,2
0,6
0,9
0,5
0,1
0,5
0,6
0,14
0,2
0,11
0,12
0,1
0,0
0,5
0,10
0,1
0,14
0,6
0,6
0,2
0,2
0,6
0,0
0,10
0,4
0,0
0,6
0,5
0,1
0,0
0,2
0,2
0,11
0,5
0,6
0,10
0,2
0,1
0,1
0,0
0,6
0,4
0,10
0,6
0,6
0,3
0,6
0,2
0,0
0,1
0,7
0,6
0,2
0,1
0,6
0,2
0,6
0,0
0,1
0,2
0,7
0,5
0,1
0,1
0,11
0,11
0,1
0,8
0,8
0,2
0,5
0,2
0,0
0,8
0,6
0,10
0,5
0,0
0,6
0,10
0,14
0,2
0,0
0,14
0,9
0,0
0,5
0,1
0,6
0,5
0,9
0,4
0,7
0,10
0,6
0,1
0,0
0,9
0,0
0,0
0,9
0,2
0,6
0,1
0,14
0,2
0,5
0,4
0,2
0,4
0,2
0,1
0,0
0,14
0,8
0,2
0,11
0,8
0,0
0,0
0,8
0,6
0,6
0,5
0,10
0,1
0,8
0,7
0,5
0,2
0,5
0,8
0,7
0,9
0,5
0,0
0,5
0,7
0,6
0,0
0,2
0,6
0,1
0,2
0,6
0,5
0,5
0,7
0,0
0,0
0,5
0,1
0,1
0,1
0,9
0,6
0,3
0,6
0,2
0,11
0,2
0,6
0,2
0,1
0,2
0,6
0,5
0,7
0,13
0,7
0,1
0,5
0,10
0,0
0,0
0,1
0,5
0,7
0,11
0,1
0,5
0,5
0,2
0,5
0,1
0,7
0,6
0,10
0,6
0,3
0,1
0,2
0,5
0,5
0,5
0,0
0,2
0,10
0,6
0,7
0,7
0,1
0,6
0,9
0,1
0,9
0,5
0,0
0,1
0,8
0,7
0,4
0,5
0,2
0,1
0,2
0,1
0,2
0,1
0,2
0,1
0,6
0,7
0,6
0,0
0,1
0,1
0,1
0,8
0,1
0,10
0,5
0,10
0,1
0,5
0,11
0,0
0,2
0,4
0,5
0,6
0,6
0,2
0,0
0,0
0,9
0,6
0,0
0,2
0,6
0,12
0,10
0,6
0,1
0,5
0,2
0,6
0,0
0,4
0,0
0,3
0,1
0,4
0,0
0,6
0,3
0,2
0,7
0,5
0,0
0,2
0,2
0,10
0,6
0,1
0,4
0,5
0,1
0,1
0,4
0,2
0,0
0,9
0,8
0,1
0,0
0,2
0,2
0,5
0,2
0,5
0,6
0,5
0,5
0,1
0,0
0,5
0,9
0,3
0,1
0,5
0,8
0,10
0,7
0,9
0,1
0,1
0,8
0,1
0,1
0,2
0,1
0,0
0,5
0,1
0,5
0,11
0,11
0,6
0,10
0,4
0,9
0,1
0,0
0,6
0,5
0,5
0,0
0,2
0,9
0,3
0,6
0,5
0,6
0,0
0,0
0,1
0,1
0,0
0,11
0,3
0,0
0,13
0,2
0,2
0,6
0,2
0,2
0,10
0,5
0,6
0,9
0,2
0,2
0,7
0,2
0,2
0,6
0,10
0,10
0,6
0,12
0,8
0,6
0,4
0,6
0,6
0,5
0,5
0,0
0,9
0,1
0,2
0,2
0,1
0,2
0,4
0,14
0,11
0,0
0,8
0,5
0,6
0,2
0,12
0,2
0,6
0,10
0,2
0,0
0,4
0,9
0,10
0,6
0,4
0,6
0,2
0,6
0,12
0,7
0,2
0,0
0,9
0,8
0,0
0,0
0,1
0,5
0,11
0,6
0,10
0,1
0,1
0,9
0,1
0,0
0,2
0,1
0,8
0,7
0,7
0,2
0,9
0,0
0,6
0,5
0,0
0,0
0,9
0,12
0,0
0,6
0,8
0,5
0,2
0,11
0,2
0,8
0,7
0,8
0,0
0,1
0,4
0,5
0,3
0,9
0,11
0,0
0,6
0,2
0,9
0,2
0,5
0,2
0,0
0,6
0,2
0,6
0,5
0,5
0,10
0,3
0,9
0,0
0,2
0,1
0,2
0,4
0,0
0,7
0,1
0,1
0,2
0,0
0,1
0,5
0,9
0,6
0,6
0,2
0,2
0,5
0,1
0,2
0,8
0,5
0,6
0,6
0,6
0,5
0,6
0,0
0,0
0,1
0,1
0,8
0,6
0,10
0,6
0,6
0,6
0,10
0,4
0,0
0,6
0,6
0,1
0,2
0,10
0,0
0,0
0,6
0,0
0,8
0,6
0,7
0,10
0,4
0,6
0,1
0,8
0,11
0,11
0,7
0,1
0,2
0,10
0,10
0,9
0,0
0,0
0,2
0,8
0,2
0,5
0,5
0,6
0,6
0,5
0,0
0,10
0,0
0,0
0,6
0,5
0,1
0,5
0,4
0,5
0,0
0,11
0,5
0,4
0,1
0,8
0,5
0,6
0,13
0,1
0,11
0,6
0,6
0,0
0,1
0,9
0,11
0,2
0,2
0,2
0,3
0,2
0,9
0,11
0,0
0,1
0,2
0,8
0,5
0,1
0,0
0,11
0,7
0,0
0,2
0,1
0,1
0,0
0,8
0,6
0,2
0,9
0,11
0,9
0,2
0,0
0,1
0,2
0,2
0,7
0,5
0,9
0,1
0,10
0,6
0,2
0,1
0,2
0,0
0,7
0,13
0,1
0,10
0,11
0,6
0,0
0,1
0,8
0,2
0,5
0,0
0,9
0,2
0,5
0,8
0,13
0,1
0,2
0,2
0,6
0,14
0,6
0,14
0,6
0,6
0,0
0,7
0,1
0,3
0,0
0,6
0,5
0,9
0,9
0,2
0,2
0,5
0,2
0,0
0,5
0,14
0,11
0,5
0,9
0,9
0,2
0,5
0,11
0,0
0,2
0,1
0,1
0,1
0,0
0,1
0,2
0,2
0,5
0,14
0,1
0,4
0,8
0,4
0,5
0,10
0,6
0,9
0,6
0,8
0,0
0,5
0,10
0,7
0,0
0,0
0,6
0,6
0,13
0,0
0,2
0,14
0,6
0,11
0,1
0,11
0,2
0,2
0,7
0,9
0,6
0,1
0,0
0,2
0,6
0,0
0,6
0,0
0,0
0,2
0,10
0,11
0,9
0,12
0,2
0,6
0,9
0,1
0,6
0,7
0,0
0,8
0,2
0,5
0,0
0,9
0,5
0,1
0,6
0,9
0,4
0,1
0,2
0,0
0,5
0,5
0,2
0,0
0,10
0,5
0,0
0,4
0,12
0,10
0,6
0,11
0,5
0,9
0,11
0,6
0,5
0,2
0,9
0,0
0,2
0,0
0,0
0,6
0,0
0,1
0,9
0,11
0,1
0,5
0,2
0,2
0,8
0,1
0,0
0,5
0,7
0,1
0,1
0,6
0,2
0,4
0,2
0,0
0,1
0,5
0,2
0,11
0,0
0,2
0,7
0,5
0,0
0,5
0,6
0,5
0,1
0,4
0,5
0,1
0,7
0,2
0,6
0,6
0,4
0,0
0,9
0,2
0,1
0,11
0,6
0,7
0,0
0,0
0,5
0,6
0,11
0,2
0,9
0,4
0,5
0,5
0,6
0,1
0,5
0,1
0,6
0,0
0,6
0,2
0,2
0,5
0,5
0,5
0,6
0,0
0,6
0,2
0,8
0,1
0,2
0,1
0,0
0,1
0,5
0,6
0,1
0,2
0,2
0,6
0,2
0,2
0,6
0,11
0,1
0,5
0,5
0,6
0,7
0,1
0,0
0,5
0,6
0,8
0,0
0,6
0,5
0,0
0,5
0,2
0,6
0,0
0,1
0,5
0,7
0,12
0,0
0,4
0,6
0,2
0,10
0,4
0,6
0,2
0,6
0,2
0,0
0,5
0,1
0,6
0,11
0,8
0,6
0,2
0,2
0,0
0,1
0,0
0,5
0,0
0,0
0,0
0,1
0,4
0,5
0,2
0,0
0,9
0,0
0,0
0,9
0,2
0,1
0,11
0,2
0,5
0,5
0,9
0,2
0,5
0,2
0,0
0,2
0,2
0,5
0,5
0,6
0,2
0,5
0,5
0,1
0,11
0,0
0,11
0,1
0,10
0,9
0,14
0,10
0,10
0,7
0,10
0,5
0,7
0,0
0,6
0,0
0,2
0,1
0,7
0,10
0,2
0,0
0,1
0,6
0,6
0,5
0,11
0,6
0,6
0,10
0,6
0,2
0,0
0,0
0,2
0,2
0,0
0,6
0,9
0,13
0,6
0,4
0,10
0,6
0,0
0,7
0,2
0,0
0,8
0,2
0,2
0,2
0,2
0,8
0,1
0,5
0,5
0,1
0,2
0,11
0,11
0,5
0,1
0,0
0,9
0,5
0,2
0,6
0,2
0,0
0,2
0,6
0,1
0,0
0,6
0,5
0,2
0,1
0,0
0,6
0,2
0,0
0,2
0,0
0,5
0,11
0,11
0,2
0,10
0,1
0,0
0,7
0,6
0,1
0,11
0,7
0,0
0,4
0,0
0,0
0,11
0,5
0,1
0,1
0,5
0,1
0,11
0,11
0,6
0,6
0,2
0,4
0,4
0,9
0,11
0,2
0,10
0,2
0,0
0,10
0,2
0,8
0,9
0,1
0,0
0,5
0,1
0,2
0,2
0,2
0,9
0,6
0,2
0,1
0,5
0,7
0,2
0,2
0,1
0,0
0,10
0,0
0,2
0,2
0,0
0,0
0,6
0,0
0,0
0,1
0,0
0,2
0,0
0,12
0,6
0,5
0,0
0,10
0,5
0,6
0,5
0,0
0,5
0,2
0,1
0,5
0,0
0,0
0,2
0,8
0,14
0,6
0,5
0,6
0,9
0,1
0,6
0,2
0,5
0,0
0,0
0,1
0,2
0,8
0,0
0,7
0,0
0,2
0,1
0,1
0,2
0,2
0,5
0,1
0,0
0,9
0,2
0,6
0,6
0,5
0,2
0,2
0,1
0,1
0,2
0,10
0,7
0,10
0,1
0,0
0,6
0,5
0,1
0,1
0,5
1,15
1,2
1,2
1,2
1,15
1,15
1,6
1,16
1,15
1,6
1,6
1,6
1,6
1,6
1,16
1,2
1,15
1,15
1,16
1,6
1,15
1,6
1,16
1,2
1,15
1,15
1,6
1,16
1,6
1,6
1,6
1,2
1,2
1,15
1,15
1,15
1,6
1,2
1,16
1,16
1,2
1,2
1,15
1,16
1,2
1,15
1,2
1,16
1,16
1,15
1,16
1,15
1,2
1,2
1,16
1,6
1,15
1,16
1,2
1,6
1,2
1,15
1,15
1,15
1,6
1,16
1,16
1,6
1,2
1,6
1,16
1,15
1,2
1,6
1,15
1,15
1,16
1,6
1,6
1,6
1,15
1,6
1,16
1,16
1,2
1,15
1,6
1,2
1,2
1,15
1,15
1,2
1,6
1,15
1,16
1,2
1,6
1,6
1,6
1,16
1,16
1,2
1,2
1,2
1,2
1,16
1,15
1,16
1,2
1,2
1,16
1,15
1,16
1,6
1,6
1,15
1,16
1,16
1,2
1,15
1,6
1,16
1,2
1,16
1,15
1,16
1,6
1,16
1,2
1,6
1,6
1,6
1,16
1,16
1,15
1,16
1,15
1,15
1,6
1,6
1,16
1,16
1,15
1,15
1,16
1,16
1,15
1,16
1,16
1,16
1,15
1,16
1,2
1,6
1,6
1,2
1,16
1,15
1,6
1,15
1,2
1,16
1,16
1,6
1,15
1,2
1,2
1,2
1,2
1,6
1,6
1,15
1,6
1,6
1,2
1,2
1,15
1,6
1,15
1,2
1,16
1,15
1,16
1,16
1,16
1,6
1,16
1,2
1,16
1,6
1,2
1,15
1,15
1,6
1,16
1,16
1,15
1,6
1,6
1,6
1,15
1,2
1,15
1,6
1,2
1,6
1,2
1,2
1,6
1,2
1,15
1,6
1,6
1,6
1,2
1,15
1,6
1,2
1,16
1,16
1,16
1,2
1,2
1,16
1,16
1,2
1,16
1,2
1,15
1,16
1,16
1,16
1,15
1,6
1,15
1,6
1,6
1,16
1,2
1,2
1,15
1,15
1,6
1,16
1,15
1,15
1,2
1,2
1,2
1,15
1,2
1,16
1,2
1,2
1,2
1,6
1,6
1,6
1,15
1,16
1,6
1,15
1,6
1,16
1,15
1,16
1,16
1,6
1,15
1,2
1,2
1,2
1,2
1,16
1,6
1,15
1,16
1,15
1,6
1,6
1,2
1,15
1,2
1,6
1,15
1,2
1,6
1,15
1,15
1,2
1,2
1,6
1,2
1,16
1,6
1,2
1,16
1,16
1,6
1,15
1,16
1,2
1,6
1,16
1,6
1,16
1,2
1,16
1,15
1,6
1,16
1,6
1,6
1,15
1,16
1,15
1,15
1,6
1,6
1,6
1,16
1,2
1,2
1,6
1,15
1,16
1,16
1,16
1,2
1,6
1,16
1,6
1,16
1,15
1,15
1,6
1,2
1,16
1,16
1,2
1,15
1,2
1,16
1,6
1,16
1,2
1,16
1,15
1,16
1,15
1,2
1,2
1,6
1,16
1,16
1,16
1,16
1,15
1,15
1,15
1,2
1,6
1,6
1,16
1,2
1,6
1,6
1,6
1,6
1,6
1,6
1,2
1,2
1,16
1,2
1,6
1,6
1,15
1,16
1,2
1,2
1,15
1,6
1,15
1,15
1,6
1,2
1,2
1,2
1,6
1,15
1,6
1,6
1,2
1,2
1,16
1,16
1,16
1,2
1,2
1,2
1,6
1,2
1,16
1,16
1,2
1,6
1,2
1,16
1,2
1,16
1,6
1,16
1,6
1,15
1,6
1,16
1,6
1,15
1,2
1,16
1,6
1,15
1,16
1,16
1,6
1,15
1,16
1,15
1,2
1,6
1,15
1,16
1,2
1,6
1,16
1,2
1,6
1,2
1,6
1,15
1,15
1,16
1,6
1,16
1,6
1,16
1,16
1,16
1,16
1,16
1,6
1,2
1,6
1,16
1,15
1,2
1,16
1,15
1,2
1,16
1,6
1,6
1,6
1,16
1,6
1,6
1,2
1,2
1,15
1,16
1,2
1,2
1,15
1,15
1,6
1,16
1,6
1,2
1,6
1,15
1,15
1,6
1,2
1,15
1,6
1,16
1,2
1,15
1,15
1,15
1,2
1,15
1,6
1,16
1,16
1,15
1,2
1,16
1,15
1,16
1,15
1,6
1,2
1,16
1,15
1,6
1,6
1,2
1,16
1,16
1,6
1,15
1,15
1,6
1,2
1,6
1,2
1,16
1,16
1,2
1,16
1,6
1,6
1,6
1,6
1,15
1,6
1,16
1,6
1,2
1,16
1,16
1,2
1,16
1,2
1,16
1,2
1,15
1,16
1,16
1,2
1,15
1,15
1,6
1,16
1,6
1,16
1,16
1,15
1,2
1,15
1,2
1,16
1,6
1,16
1,2
1,6
1,6
1,2
1,6
1,15
1,2
1,6
1,15
1,2
1,15
1,2
1,2
1,6
1,16
1,15
1,6
1,15
1,6
1,2
1,2
1,2
1,16
1,16
1,2
1,16
1,6
1,2
1,6
1,6
1,6
1,16
1,6
1,16
1,2
1,6
1,15
1,16
1,2
1,16
1,2
1,2
1,16
1,2
1,16
1,6
1,6
1,16
1,16
1,6
1,15
1,2
1,2
1,2
1,16
1,6
1,6
1,16
1,16
1,16
1,2
1,16
1,16
1,2
1,2
1,6
1,6
1,16
1,6
1,2
1,15
1,6
1,6
1,15
1,15
1,2
1,16
1,16
1,16
1,2
1,6
1,6
1,15
1,2
1,6
1,6
1,6
1,15
1,15
1,6
1,6
1,2
1,6
1,15
1,6
1,15
1,6
1,6
1,6
1,6
1,6
1,2
1,15
1,16
1,15
1,15
1,6
1,6
1,2
1,15
1,15
1,2
1,15
1,15
1,2
1,6
1,6
1,15
1,16
1,6
1,6
1,2
1,15
1,6
1,15
1,15
1,16
1,6
1,16
1,16
1,2
1,2
1,16
1,16
1,2
1,6
1,2
1,16
1,2
1,16
1,15
1,6
1,16
1,15
1,15
1,2
1,6
1,15
1,6
1,6
1,15
1,15
1,2
1,6
1,2
1,6
1,6
1,6
1,15
1,6
1,2
1,2
1,2
1,15
1,16
1,2
1,2
1,6
1,2
1,2
1,15
1,15
1,16
1,16
1,6
1,16
1,15
1,6
1,15
1,15
1,16
1,15
1,2
1,16
1,6
1,16
1,2
1,6
1,6
1,6
1,15
1,6
1,2
1,6
1,6
1,2
1,15
1,16
1,2
1,16
1,16
1,6
1,2
1,16
1,2
1,16
1,15
1,2
1,16
1,2
1,2
1,16
1,15
1,2
1,6
1,15
1,15
1,2
1,6
1,15
1,16
1,6
1,16
1,2
1,2
1,2
1,15
1,15
1,16
1,15
1,6
1,6
1,6
1,2
1,2
1,6
1,6
1,15
1,16
1,2
1,6
1,15
1,15
1,15
1,16
1,15
1,15
1,6
1,15
1,6
1,2
1,6
1,2
1,16
1,16
1,16
1,16
1,15
1,15
1,16
1,2
1,16
1,2
1,16
1,6
1,15
1,15
1,6
1,2
1,2
1,16
1,16
1,15
1,6
1,16
1,6
1,16
1,2
1,2
1,6
1,15
1,2
1,6
1,2
1,15
1,6
1,6
1,6
1,2
1,16
1,6
1,15
1,15
1,6
1,2
1,15
1,15
1,2
1,2
1,6
1,16
1,15
1,16
1,15
1,15
1,6
1,16
1,15
1,2
1,2
1,16
1,6
1,6
1,16
1,16
1,16
1,15
1,15
1,16
1,6
1,16
1,2
1,2
1,2
1,6
1,15
1,6
1,6
1,2
1,15
1,6
1,15
1,16
1,16
1,15
1,6
1,2
1,16
1,15
1,2
1,2
1,15
1,15
1,15
1,15
1,16
1,6
1,16
1,15
1,6
1,2
1,6
1,6
1,15
1,6
1,16
1,16
1,16
1,2
1,2
1,6
1,16
1,6
1,2
1,2
1,2
1,6
1,16
1,6
1,15
1,2
1,6
1,16
1,6
1,16
1,6
1,2
1,15
1,15
1,6
1,6
1,15
1,2
1,16
1,6
1,16
1,2
1,6
1,2
1,6
1,2
1,16
1,6
1,15
1,16
1,16
1,15
1,15
1,2
1,6
1,6
1,15
1,15
1,16
1,15
1,16
1,2
1,16
1,6
1,6
1,2
1,16
1,2
1,15
1,15
1,2
1,15
1,2
1,2
1,15
1,15
1,2
1,2
1,6
1,6
1,6
1,16
1,16
1,2
1,16
1,6
1,6
1,2
1,2
1,16
1,15
1,2
1,16
1,2
1,16
1,16
1,2
1,15
1,2
1,15
1,16
1,2
1,15
1,6
1,15
1,15
